"시나리오별","시도별","성별","연령별","항목","단위","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","계","추계인구","","32240827","32882704","33505406","34103149","34692266","35280725","35848523","36411795","36969185","37534236","38123775","38723248","39326352","39910403","40405956","40805744","41213674","41621690","42031247","42449038","42869283","43295704","43747962","44194628","44641540","45092991","45524681","45953580","46286503","46616677","47008111","47370164","47644736","47892330","48082519","48184561","48438292","48683638","49054708","49307835","49554112","49936638","50199853","50428893","50746659","51014947","51217803","51361911","51585058","51764822","51836239","51769539","51672569","51712619","51751065",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","0 - 4세","추계인구","","4548177","4619581","4675505","4695313","4689282","4541059","4380101","4222842","4107110","4025181","4033727","4075892","4112359","4119715","4013144","3845533","3664739","3469862","3330753","3277842","3203203","3238866","3316174","3403133","3483283","3545704","3559073","3524075","3452808","3349173","3259783","3162858","3006361","2843122","2699556","2524288","2359807","2298242","2301398","2273634","2271803","2315573","2330921","2309327","2295016","2290097","2240110","2151219","2038736","1930344","1776616","1618830","1494041","1387730","1296661",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","5 - 9세","추계인구","","4629882","4524871","4457446","4413524","4422587","4478159","4540577","4611679","4626835","4584686","4458426","4316638","4168352","4056805","3990530","3967667","4017250","4083227","4109267","4021803","3843481","3644652","3440905","3281101","3191664","3166753","3188482","3269997","3367330","3459152","3521464","3533008","3494260","3416386","3321422","3233565","3136070","2976622","2809151","2671496","2497927","2336396","2276951","2279822","2252502","2251100","2297146","2308987","2288927","2276175","2278285","2231797","2142084","2027744","1914933",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","10 - 14세","추계인구","","4531308","4619637","4725521","4740548","4678202","4595185","4514152","4438586","4382084","4395448","4458622","4532506","4605889","4624448","4588086","4491342","4347844","4193288","4047425","3961486","3926908","3975202","4034347","4050294","3978499","3824371","3655722","3439030","3271379","3164569","3129982","3156586","3231727","3325398","3409535","3465407","3483708","3439518","3368274","3284134","3209709","3119491","2969359","2803088","2666175","2488686","2327307","2264077","2267391","2241561","2250969","2297714","2311839","2289761","2273651",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","15 - 19세","추계인구","","3269356","3499916","3723447","3960106","4174551","4334269","4455008","4546786","4604018","4587525","4519689","4411934","4331102","4304820","4339154","4407777","4481930","4549972","4581350","4550521","4442014","4297041","4138758","3996579","3909674","3896948","3953516","4031766","4060624","3999155","3842432","3615529","3391243","3216920","3108835","3080061","3103285","3184001","3282024","3368818","3428793","3468536","3435576","3373050","3289729","3222268","3132204","2982455","2820005","2685976","2518218","2345886","2287873","2301077","2272843",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","20 - 24세","추계인구","","2569044","2640975","2729488","2780387","2874517","3074414","3336525","3544548","3743774","3936519","4093407","4264325","4370369","4393485","4347506","4274337","4245645","4207912","4177568","4208326","4342407","4429021","4504498","4531297","4491139","4391626","4247453","4077566","3938084","3853441","3854382","3933235","4011329","4045569","3970573","3788780","3587201","3380558","3226850","3153001","3139049","3175673","3268949","3370906","3457405","3511968","3559849","3529657","3498197","3439052","3392351","3278327","3105237","2953664","2838789",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","25 - 29세","추계인구","","2335969","2297759","2309954","2378425","2458215","2535266","2588407","2647963","2727306","2862241","3072797","3299851","3499449","3713565","3917373","4097891","4206166","4291592","4346783","4342301","4326749","4264005","4216818","4203646","4237069","4300710","4344493","4424219","4441047","4418353","4352913","4224596","4064589","3941430","3853273","3843827","3927136","4018371","4056267","4001090","3834105","3664802","3464864","3315255","3259130","3269454","3279811","3368161","3493062","3587776","3645542","3675202","3628784","3594717","3533643",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","30 - 34세","추계인구","","2237747","2268991","2306035","2296469","2277514","2245682","2236634","2278218","2355958","2446500","2525214","2595896","2682293","2787668","2937236","3089272","3344633","3529362","3756309","3966001","4134702","4259036","4345014","4376728","4353044","4296721","4257500","4212189","4162297","4181625","4247992","4332087","4421320","4473012","4450632","4360436","4226271","4078911","3954807","3856438","3877784","3967427","4058688","4086255","4045454","3871602","3688255","3491542","3360617","3306462","3307803","3306451","3390434","3524540","3615767",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","35 - 39세","추계인구","","1866982","1948564","2029069","2108309","2166022","2209126","2251043","2293446","2310640","2300125","2279565","2269264","2298095","2369242","2462888","2552192","2564329","2647684","2703254","2805972","3042329","3273671","3489073","3712065","3924912","4092051","4204082","4312799","4357948","4324945","4273079","4228965","4187506","4154850","4216022","4267337","4361921","4449040","4509979","4466962","4387036","4241327","4087693","3949716","3854386","3892100","3964685","4054300","4095610","4051769","3866979","3683026","3482511","3349843","3297256",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","40 - 44세","추계인구","","1467129","1518568","1575198","1642717","1720007","1820221","1913806","1995036","2069345","2132768","2178570","2226462","2274207","2289040","2276724","2262901","2259794","2282293","2337657","2419171","2477748","2545795","2608361","2676856","2796727","2995391","3217477","3405223","3625438","3860167","4020438","4155285","4271265","4342326","4312441","4248300","4184030","4156757","4135275","4244225","4306370","4409021","4483989","4527975","4479628","4398381","4230029","4078404","3951400","3847859","3872171","3944406","4035019","4066215","4023556",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","45 - 49세","추계인구","","1271554","1288932","1295548","1314772","1352755","1398399","1448885","1512900","1583123","1659875","1756088","1851271","1928379","2001786","2066471","2119340","2166942","2211518","2230327","2219245","2166709","2155466","2180285","2246633","2335451","2418904","2478292","2553587","2613214","2716095","2921443","3160621","3346133","3569142","3802111","3958097","4139484","4248784","4354664","4321262","4271709","4191090","4173386","4125313","4295086","4354036","4441770","4506942","4553179","4487622","4385732","4213912","4061992","3926944","3828741",
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","계","50 - 54세","추계인구","","1017150","1041058","1071643","1122447","1169097","1202947","1224803","1243071","1261600","1289291","1324926","1376616","1444187","1517874","1600217","1686760","1772028","1852866","1927566","1994986","2021714","2066185","2111226","2126067","2111389","2090711","2074866","2103395","2173953","2270251","2365862","2427537","2505591","2568222","2664066","2861891","3106401","3287112","3524016","3761143","3934363","4163908","4263019","4364665","4334785","4289039","4170297","4163840","4122273","4297890","4338269","4425748","4489552","4525612","4459873",
